SerialNumber,WentLiveOn
VSH209725_OLD,7/15/2013
VSH209776_OLD,7/15/2013
VSH209621_OLD,7/16/2013
VSH209721_OLD,7/16/2013
VSH209732_OLD,7/16/2013
VSH209163,7/16/2013
VSH209699_OLD,7/17/2013
VSH209671,7/17/2013
VSH209728_OLD,7/17/2013
VSH209543,7/17/2013
VSH209695,7/17/2013
VSH209672_OLD,7/18/2013
VSH209696,7/18/2013
VSH209659,7/19/2013
VSH209760,7/19/2013
VSH209660,7/20/2013
VSH209758,7/20/2013
VSH315516_OLD,7/22/2013
VSH209630_OLD,7/22/2013
VSH320037,7/23/2013
VSH209785,7/23/2013
VSH209737,7/23/2013
VSH209570,7/24/2013
VSH209779,7/24/2013
VSH209724,7/25/2013
VSH209777,7/25/2013
VSH209791,7/25/2013
VSH209736,7/29/2013
VSH209557,7/29/2013
VSH209794,7/29/2013
VSH209708,7/30/2013
VSH209723_OLD,7/30/2013
VSH209784,7/30/2013
VSH209786_OLD,7/30/2013
VSH209788_OLD,7/30/2013
VSH314108_OLD,7/30/2013
VSH209288OLD2,7/30/2013
VSH209449_OLD1,7/31/2013
VSH209674,7/31/2013
VSH209808_OLD,7/31/2013
VSH209787_OLD,7/31/2013
VSH209664,7/31/2013
VSH209801,7/31/2013
VSH209251_OLD,8/1/2013
VSH209763,8/2/2013
VSH314468,8/2/2013
VSH109094,8/2/2013
VSH109963,8/2/2013
VSH209558,8/3/2013
VSH209783,8/5/2013
VSH209803_OLD2,8/5/2013
VSH310004_OLD,8/5/2013
VSH209818,8/5/2013
VSH209817_REL,8/5/2013
VSH209757,8/6/2013
VSH109016,8/6/2013
VSH209637_OLD,8/7/2013
VSH209676,8/7/2013
VSH209729,8/7/2013
VSH109991,8/8/2013
VSH109436_OLD,8/8/2013
VSH209572,8/9/2013
VSH209738,8/9/2013
VSH209751,8/9/2013
VSH209701,8/10/2013
VSH209652,8/12/2013
VSH209486,8/12/2013
VSH209748_OLD,8/12/2013
VSH109433,8/12/2013
VSH209843_OLD,8/12/2013
VSH209220,8/13/2013
VSH209266,8/14/2013
VSH209793_OLD,8/14/2013
VSH209790,8/14/2013
VSH209778_OLD,8/14/2013
VSH314067_OLD,8/15/2013
VSH209269_OLD,8/15/2013
VSH209742_OLD,8/15/2013
VSH321490,8/16/2013
VSH209821,8/16/2013
VSH209834,8/16/2013
VSH209731,8/19/2013
VSH209741,8/19/2013
VSH209771,8/19/2013
VSH209804,8/19/2013
VSH209816,8/19/2013
VSH209847_REL,8/19/2013
VSH312234__OLD,8/20/2013
VSH209811,8/20/2013
VSH209692,8/21/2013
VSH209770,8/21/2013
VSH209812,8/21/2013
VSH209743,8/23/2013
VSH209766,8/23/2013
VSH209824,8/23/2013
VSH109091,8/25/2013
VSH209694_OLD,8/26/2013
VSH209862,8/28/2013
VSH209868,8/28/2013
VSH318239,8/28/2013
VSH209807,8/29/2013
VSH314183_OLD,8/30/2013
VSH209882,8/30/2013
VSH209675_OLD,9/3/2013
VSH209881,9/3/2013
VSH209720,9/4/2013
VSH209835,9/4/2013
VSH317276,9/5/2013
VSH209870_OLD,9/5/2013
VSH311736_OLD,9/6/2013
VSH209866,9/6/2013
VSH209628,9/9/2013
VSH209733,9/9/2013
VSH209746,9/9/2013
VSH310022,9/9/2013
VSH209836,9/9/2013
VSH209871,9/9/2013
VSH209884,9/9/2013
VSH209922,9/9/2013
VSH209084_OLD,9/9/2013
VSH209476_OLD,9/10/2013
VSH209775_OLD,9/10/2013
VSH209840,9/10/2013
VSH209273,9/10/2013
VSH209125,9/10/2013
VSH209538,9/10/2013
VSH311962_OLD,9/10/2013
VSH318714,9/11/2013
VSH209306,9/11/2013
VSH209688_OLD,9/12/2013
VSH314796,9/12/2013
VSH310012_OLD,9/12/2013
VSH209697_OLD,9/13/2013
VSH209691_OLD,9/13/2013
VSH209753,9/13/2013
VSH209747_OLD,9/14/2013
VSH209773_OLD,9/14/2013
VSH209867_OLD,9/14/2013
VSH209806_OLD,9/16/2013
VSH209810,9/16/2013
VSH209839,9/16/2013
VSH209885_OLD,9/16/2013
VSH209901_OLD,9/17/2013
VSH209923_OLD,9/17/2013
VSH209855_OLD,9/18/2013
VSH209869,9/18/2013
VSH209930_OLD,9/18/2013
VSH209948_OLD,9/18/2013
VSH209832_OLD,9/19/2013
VSH209890,9/19/2013
VSH209933,9/19/2013
VSH209263,9/19/2013
VSH209265,9/20/2013
VSH209950,9/20/2013
VSH209243,9/23/2013
VSH312401,9/23/2013
VSH209850,9/23/2013
VSH209888,9/23/2013
VSH209927,9/23/2013
VSH209883,9/24/2013
VSH209845,9/25/2013
VSH209926,9/25/2013
VSH209663,9/26/2013
VSH209556,9/26/2013
VSH209917,9/26/2013
VSH209846,9/26/2013
VSH209928,9/26/2013
VSH209959,9/26/2013
VSH209487,9/26/2013
VSH209336,9/28/2013
VSH317764_OLD,9/28/2013
VSH209921,9/29/2013
VSH209887,9/30/2013
VSH209940,9/30/2013
VSH320999,9/30/2013
VSH109440,9/30/2013
VSH209963,9/30/2013
VSH209973_OLD,9/30/2013
VSH209920,10/1/2013
VSH209749,10/2/2013
VSH209767_OLD,10/2/2013
VSH209595_OLD,10/2/2013
VSH209878,10/2/2013
VSH209899_OLD,10/2/2013
VSH209877,10/2/2013
VSH209992,10/2/2013
VSH209953_REL,10/3/2013
VSH209772_OLD,10/4/2013
VSH209864,10/4/2013
VSH209952,10/5/2013
VSH209900,10/7/2013
VSH321149,10/7/2013
VSH209977_OLD,10/7/2013
VSH209837,10/8/2013
VSH209769_OLD,10/8/2013
VSH209828,10/9/2013
VSH316710,10/9/2013
VSH209896,10/9/2013
VSH109401_OLD,10/10/2013
VSH209931,10/11/2013
VSH209939,10/12/2013
VSH209873,10/13/2013
VSH209575,10/14/2013
VSH209657_REL,10/14/2013
VSH209853,10/14/2013
VSH209915,10/14/2013
VSH209919,10/14/2013
VSH209945_OLD,10/14/2013
VSH209475_OLD,10/15/2013
VSH209971,10/15/2013
VSH316709,10/16/2013
VSH209875,10/16/2013
VSH209998,10/16/2013
VSH209295_OLD,10/16/2013
VSH209857,10/18/2013
VSH209924,10/18/2013
VSH209918,10/18/2013
