SerialNumber,WentLiveOn
VSH311812,11/21/2016
VSH315961_OLD,11/22/2016
VSH316031_REL,11/22/2016
VSH316113,11/22/2016
VSH315912,11/23/2016
VSH315457_OLD,11/23/2016
VSH315393_V5,11/23/2016
VSH316082,11/23/2016
VSH312993,11/23/2016
VSH315849,11/28/2016
VSH316049,11/28/2016
VSH315940,11/28/2016
VSH209654,11/29/2016
VSH315965_REL,11/29/2016
VSH316032_OLD,11/29/2016
VSH316045,11/29/2016
VSH315907,11/29/2016
VSH316051_OLD,11/30/2016
VSH316077_OLD,11/30/2016
VSH316074,11/30/2016
VSH316088,11/30/2016
VSH315244,11/30/2016
VSH316104_OLD,11/30/2016
VSH316149,11/30/2016
VSH316063,11/30/2016
VSH313953,11/30/2016
VSH315504,12/1/2016
VSH316057,12/1/2016
VSH316097,12/1/2016
VSH316110_OLD,12/1/2016
VSH316047,12/1/2016
VSH316231_OLD,12/1/2016
VSH250294,12/1/2016
VSH316148,12/2/2016
VSH316135_OLD,12/2/2016
VSH315987,12/3/2016
VSH315824,12/5/2016
VSH315947,12/5/2016
VSH315945,12/5/2016
VSH316122,12/5/2016
VSH316154_OLD,12/5/2016
VSH316191,12/5/2016
VSH311335_PCSWAP,12/5/2016
VSH315605_OLD,12/6/2016
VSH316093,12/6/2016
VSH315997,12/6/2016
VSH311453,12/7/2016
VSH316073,12/7/2016
VSH315641,12/8/2016
VSH315884,12/8/2016
VSH316109,12/8/2016
VSH316155,12/8/2016
VSH209123,12/8/2016
VSH250297,12/8/2016
VSH316180,12/9/2016
VSH316225_old,12/9/2016
VSH315773,12/11/2016
VSH315848,12/11/2016
VSH316026,12/12/2016
VSH209732,12/12/2016
VSH316189,12/12/2016
VSH316306,12/12/2016
VSH315686_OLD,12/13/2016
VSH400008,12/13/2016
VSH400005,12/13/2016
VSH316164,12/13/2016
VSH316264,12/13/2016
VSH315951,12/14/2016
VSH315962_old,12/14/2016
VSH316139,12/14/2016
VSH316137_OLD,12/14/2016
VSH322404,12/14/2016
VSH316176_OLD,12/14/2016
VSH316171_OLD,12/14/2016
VSH316179,12/14/2016
VSH316251,12/14/2016
VSH316226,12/14/2016
VSH316217_OLD,12/14/2016
VSH313767,12/14/2016
VSH316025,12/15/2016
VSH316046,12/15/2016
VSH316096,12/15/2016
VSH316106,12/15/2016
VSH316219,12/15/2016
VSH316266,12/15/2016
VSH311321,12/15/2016
VSH315910,12/16/2016
VSH209340_OLD,12/16/2016
VSH209045,12/16/2016
VSH311354,12/18/2016
VSH316214,12/18/2016
VSH316253,12/19/2016
VSH400015,12/19/2016
VSH315341,12/20/2016
VSH316075,12/20/2016
VSH316144,12/20/2016
VSH316061,12/20/2016
VSH316238_OLD,12/20/2016
VSH316295,12/20/2016
VSH400018,12/20/2016
VSH316345,12/20/2016
VSH315135_OLD2,12/20/2016
VSH316024,12/21/2016
VSH316128,12/21/2016
VSH316177_OLD,12/21/2016
VSH316208,12/21/2016
VSH316249,12/21/2016
VSH315136_OLD,12/22/2016
VSH315583_OLD,12/22/2016
VSH313151,12/22/2016
VSH316276,12/22/2016
VSH210020,12/22/2016
VSH316299_OLD,12/27/2016
VSH314150,12/27/2016
VSH209611,12/27/2016
VSH209756,12/27/2016
VSH316198,12/28/2016
VSH316344,12/28/2016
VSH316166_OLD,12/29/2016
VSH316268,12/30/2016
VSH316091,1/2/2017
VSH316290,1/2/2017
VSH316301_REL,1/2/2017
VSH315478,1/3/2017
VSH316034,1/3/2017
VSH316316,1/3/2017
VSH209435,1/3/2017
VSH316185,1/3/2017
VSH315358_OLD,1/4/2017
VSH316175_OLD,1/4/2017
VSH316160_OLD4,1/4/2017
VSH312201_OLD2,1/4/2017
VSH316311,1/4/2017
VSH109481,1/4/2017
VSH316289,1/4/2017
VSH316402_OLD,1/4/2017
VSH316302_REL,1/5/2017
VSH315689,1/6/2017
VSH315985,1/6/2017
VSH316360,1/6/2017
VSH209438_OLD3,1/7/2017
VSH315828_OLD,1/8/2017
VSH313207,1/9/2017
VSH315921,1/9/2017
VSH316083_old,1/9/2017
VSH316092,1/9/2017
VSH316236,1/9/2017
VSH316292_OLD,1/9/2017
VSH316352_REL,1/9/2017
VSH316439_REL1,1/9/2017
VSH315885,1/10/2017
VSH316195,1/10/2017
VSH316235,1/10/2017
VSH316263,1/10/2017
VSH316332,1/10/2017
VSH315540,1/11/2017
VSH316193_OLD,1/11/2017
VSH316283,1/11/2017
VSH316367_OLD,1/11/2017
VSH316358_OLD,1/11/2017
VSH316400_OLD,1/11/2017
VSH316413_REL1,1/11/2017
VSH316447_OLD,1/11/2017
VSH316504_OLD,1/11/2017
VSH315438,1/12/2017
VSH316174_REL,1/12/2017
VSH316428,1/12/2017
VSH316483,1/12/2017
VSH316233,1/13/2017
VSH316313_OLD,1/13/2017
VSH316363_OLD,1/13/2017
VSH316357,1/13/2017
VSH316314,1/13/2017
VSH315938,1/16/2017
VSH316278_OLD,1/16/2017
VSH316285,1/16/2017
VSH316322,1/16/2017
VSH316287,1/16/2017
VSH316350,1/16/2017
VSH316383,1/16/2017
VSH316404_OLD,1/16/2017
VSH316440,1/16/2017
VSH316462_OLD,1/16/2017
VSH400014,1/16/2017
VSH316455,1/16/2017
VSH316446,1/16/2017
VSH315706_OLD2,1/16/2017
VSH314781_REL,1/17/2017
VSH315366,1/17/2017
VSH316257,1/17/2017
VSH316298,1/17/2017
VSH316260_REL,1/17/2017
VSH316258,1/17/2017
VSH313651_OLD2,1/17/2017
VSH316403,1/17/2017
VSH316438_REL1,1/17/2017
VSH316444_OLD,1/17/2017
VSH316459,1/17/2017
VSH316536_OLD,1/17/2017
VSH250110,1/17/2017
VSH209506,1/18/2017
VSH316084,1/18/2017
VSH316270,1/18/2017
VSH209509,1/18/2017
VSH250234_OLD2,1/18/2017
VSH312015_OLD2,1/18/2017
VSH315591,1/19/2017
VSH316133_OLD,1/19/2017
VSH316303,1/19/2017
VSH316425_OLD,1/19/2017
VSH316429,1/19/2017
VSH316460,1/20/2017
VSH909118,1/21/2017
VSH316037,1/23/2017
VSH316232_OLD,1/23/2017
VSH316246,1/23/2017
VSH316362,1/23/2017
VSH316398_OLD,1/23/2017
VSH316427_OLD,1/23/2017
VSH400019,1/23/2017
VSH316569,1/23/2017
VSH311693_OLD,1/23/2017
VSH314982,1/24/2017
VSH316441,1/24/2017
VSH316181_OLD,1/25/2017
VSH316234,1/25/2017
VSH316359_OLD,1/25/2017
VSH316495,1/25/2017
VSH316542_REL,1/25/2017
VSH312658,1/25/2017
VSH316558_OLD,1/25/2017
VSH316354_OLD,1/26/2017
VSH316368_OLD,1/26/2017
VSH316449_OLD,1/26/2017
VSH316472OLD,1/26/2017
VSH316138,1/27/2017
VSH315651,1/27/2017
VSH400017,1/30/2017
VSH316396,1/30/2017
VSH316384_OLD,1/30/2017
VSH316394,1/30/2017
VSH312697_OLD2,1/30/2017
VSH315455,1/31/2017
VSH316338_old,1/31/2017
VSH316407,1/31/2017
VSH316432,1/31/2017
VSH316477,1/31/2017
VSH316469,1/31/2017
VSH316479,1/31/2017
VSH315875_OLD2,1/31/2017
VSH315338,2/1/2017
VSH315765,2/1/2017
VSH316089,2/1/2017
VSH316186,2/1/2017
VSH316471,2/1/2017
VSH316481_OLD,2/2/2017
VSH316499_OLD,2/2/2017
VSH316552,2/2/2017
VSH316519,2/2/2017
VSH209705,2/3/2017
VSH316066,2/3/2017
VSH316116_OLD,2/3/2017
VSH316271,2/3/2017
VSH316561,2/3/2017
VSH316551,2/3/2017
VSH316564,2/3/2017
VSH316008_OLD,2/3/2017
VSH313078_REL1,2/3/2017
VSH315978,2/6/2017
VSH316369,2/6/2017
VSH316382,2/6/2017
VSH316389,2/6/2017
VSH316397,2/6/2017
VSH316430_OLD,2/6/2017
VSH316433__old,2/6/2017
VSH400012,2/6/2017
VSH400022,2/6/2017
VSH315660,2/7/2017
VSH316401_OLD,2/7/2017
VSH316568,2/7/2017
VSH316572,2/7/2017
VSH316605_REL,2/7/2017
VSH316631,2/7/2017
VSH312523,2/7/2017
VSH316152_REL,2/8/2017
VSH316408_OLD,2/8/2017
VSH316333,2/8/2017
VSH316534,2/8/2017
VSH316567_REL,2/8/2017
VSH316636_OLD,2/8/2017
VSH209677,2/8/2017
VSH316336_OLD,2/9/2017
VSH316405,2/9/2017
VSH316670_OLD,2/9/2017
VSH312955,2/9/2017
VSH313864,2/9/2017
VSH316279,2/10/2017
VSH316417,2/10/2017
VSH316578,2/10/2017
VSH316304_REL,2/10/2017
VSH250406,2/10/2017
VSH316616_OLD,2/11/2017
VSH315918,2/11/2017
VSH209953,2/11/2017
VSH400024,2/12/2017
VSH400013,2/13/2017
VSH316629,2/13/2017
VSH316648_OLD,2/13/2017
VSH312334_OLD2,2/13/2017
VSH311654,2/14/2017
VSH316571_OLD,2/14/2017
VSH316566_OLD,2/14/2017
VSH316411_OLD,2/14/2017
VSH209596,2/14/2017
VSH316366_OLD,2/15/2017
VSH316532,2/15/2017
VSH400020,2/15/2017
VSH316679,2/15/2017
VSH315831_OLD2,2/16/2017
VSH316387_REL,2/16/2017
VSH316470_OLD,2/16/2017
VSH316583_OLD,2/16/2017
VSH316609,2/16/2017
VSH400023,2/16/2017
VSH316673,2/16/2017
VSH316520,2/16/2017
VSH500027,2/16/2017
VSH400009,2/16/2017
VSH315844_OLD,2/17/2017
VSH316665,2/17/2017
VSH210036_REL,2/17/2017
VSH209458_REL,2/17/2017
VSH313268_REL,2/17/2017
VSH316644,2/18/2017
VSH315895,2/20/2017
VSH316492,2/20/2017
VSH316538_OLD,2/20/2017
VSH316586,2/20/2017
VSH315577,2/20/2017
VSH316747_OLD,2/20/2017
VSH313219_OLDER,2/20/2017
VSH310394_REL,2/20/2017
VSH316624_old,2/21/2017
VSH316736_OLD,2/21/2017
VSH314957_OLD,2/22/2017
VSH315709,2/22/2017
VSH316657,2/22/2017
VSH314611_OLD2,2/22/2017
VSH311316_OLD2,2/22/2017
VSH316581,2/23/2017
VSH312116_REL,2/23/2017
VSH316633_OLD,2/23/2017
VSH316659,2/23/2017
VSH316758_OLD,2/23/2017
VSH311214_REL,2/23/2017
VSH316134_Old,2/24/2017
VSH316570,2/25/2017
VSH316210,2/27/2017
VSH316501_old,2/27/2017
VSH316300,2/28/2017
VSH316342_OLD,2/28/2017
VSH316341_OLD2,2/28/2017
VSH316588_OLD,2/28/2017
VSH316812,2/28/2017
VSH312107_OLD2,2/28/2017
VSH314026_OLD2,2/28/2017
VSH316591,3/1/2017
VSH316550_OLD,3/1/2017
VSH316661,3/1/2017
VSH316693,3/1/2017
VSH316757,3/1/2017
VSH313721,3/1/2017
VSH400028,3/1/2017
VSH316676,3/2/2017
VSH316723,3/2/2017
VSH316843,3/2/2017
VSH311927,3/2/2017
VSH316940,3/2/2017
VSH316622,3/3/2017
VSH316626,3/3/2017
VSH316721,3/3/2017
VSH316746,3/3/2017
VSH210036,3/3/2017
VSH209458,3/3/2017
VSH310394,3/3/2017
VSH109482,3/4/2017
VSH316601,3/4/2017
VSH314144,3/4/2017
VSH316502,3/5/2017
VSH316696,3/6/2017
VSH316590,3/6/2017
VSH311742,3/6/2017
VSH313268_OLD,3/6/2017
VSH316095_OLD,3/7/2017
VSH316580,3/7/2017
VSH316675,3/7/2017
VSH316686OLD,3/7/2017
VSH316782,3/7/2017
VSH316822,3/7/2017
VSH400030,3/7/2017
VSH311214_OLD,3/7/2017
VSH316672,3/8/2017
VSH316753,3/8/2017
VSH250234_OLD3,3/8/2017
VSH316418,3/9/2017
VSH316688OLD,3/9/2017
VSH316764,3/9/2017
VSH400029_OLD,3/9/2017
VSH316774,3/9/2017
VSH311864_OLD,3/9/2017
VSH315476,3/10/2017
VSH316739,3/10/2017
VSH316754_OLD,3/10/2017
VSH315390,3/10/2017
VSH316771_OLD,3/10/2017
VSH316615,3/11/2017
VSH316759,3/11/2017
VSH316768,3/11/2017
VSH316651,3/11/2017
VSH316539,3/12/2017
VSH316435,3/13/2017
VSH400021,3/13/2017
VSH316735_OLD,3/13/2017
VSH316740_OLD,3/13/2017
VSH313490,3/13/2017
VSH316866,3/13/2017
VSH316574,3/13/2017
VSH310117,3/13/2017
VSH316129,3/14/2017
VSH400026,3/14/2017
VSH316706,3/14/2017
VSH316776,3/14/2017
VSH316814_OLD,3/14/2017
VSH209986_REL2,3/14/2017
VSH400031,3/15/2017
VSH316709_OLD,3/16/2017
VSH316788_OLD,3/16/2017
VSH316797,3/16/2017
VSH316906_OLD,3/16/2017
VSH316820,3/16/2017
VSH315456,3/16/2017
VSH316490,3/17/2017
VSH316710_OLD,3/17/2017
VSH311704_OLD2,3/17/2017
VSH311203,3/17/2017
VSH316641,3/18/2017
VSH316937_OLD,3/19/2017
VSH316625,3/20/2017
VSH316745_OLD,3/20/2017
VSH316777_OLD,3/20/2017
VSH316802,3/20/2017
VSH316805_OLD,3/20/2017
VSH316932,3/20/2017
VSH316700,3/21/2017
VSH316790,3/21/2017
VSH312638,3/21/2017
VSH316445,3/22/2017
VSH316671_OLD,3/22/2017
VSH316687,3/22/2017
VSH316795,3/22/2017
VSH316732,3/22/2017
VSH316781_OLD,3/22/2017
VSH316804_REL,3/22/2017
VSH316890OLD,3/22/2017
VSH317001_OLD,3/22/2017
VSH314575,3/23/2017
VSH316692_REL,3/23/2017
VSH316960,3/23/2017
VSH312545,3/23/2017
VSH316614,3/24/2017
VSH316722,3/24/2017
VSH316913,3/24/2017
VSH311479_OLD2,3/25/2017
VSH316835,3/26/2017
VSH316618_OLD,3/27/2017
VSH316734,3/27/2017
VSH316694_OLD,3/27/2017
VSH316823,3/27/2017
VSH316120_OLD2,3/27/2017
VSH400047_OLD,3/27/2017
VSH314226,3/27/2017
VSH316612,3/28/2017
VSH316695,3/28/2017
VSH316808,3/28/2017
VSH316918,3/28/2017
VSH400038,3/28/2017
VSH316897_OLD,3/28/2017
VSH316663,3/29/2017
VSH316870,3/29/2017
VSH316715_REL,3/30/2017
VSH316652_REL,3/30/2017
VSH316724_REL,3/30/2017
VSH316888,3/30/2017
VSH316901,3/30/2017
VSH316961,3/30/2017
VSH317032_REL,3/30/2017
VSH311129,3/30/2017
VSH316916OLD,3/30/2017
VSH210009,3/31/2017
VSH317081,3/31/2017
VSH316577,4/1/2017
VSH316967,4/1/2017
VSH316617,4/3/2017
VSH316763_OLD,4/3/2017
VSH316778_OLD,4/3/2017
VSH316927_OLD,4/3/2017
VSH400034,4/3/2017
VSH316970,4/3/2017
VSH311412,4/3/2017
VSH316494,4/4/2017
VSH316573,4/4/2017
VSH400032_OLD,4/4/2017
VSH316895,4/4/2017
VSH317086,4/4/2017
VSH316861_OLD,4/5/2017
VSH316857_OLD,4/5/2017
VSH317375,4/5/2017
VSH316803,4/5/2017
VSH316972_OLD,4/5/2017
VSH317003,4/5/2017
VSH315211,4/5/2017
VSH314487,4/5/2017
VSH316619,4/6/2017
VSH316611,4/6/2017
VSH316610,4/6/2017
VSH316608,4/6/2017
VSH316925,4/6/2017
VSH316939,4/6/2017
VSH317077,4/6/2017
VSH209503_REL,4/6/2017
VSH316521_OLD,4/7/2017
VSH316798,4/7/2017
VSH316935,4/7/2017
VSH317026,4/7/2017
VSH400039,4/7/2017
VSH317095,4/7/2017
VSH316713_OLD,4/8/2017
VSH316525,4/8/2017
VSH317108_old,4/9/2017
VSH311191_OLD2,4/10/2017
VSH316833,4/10/2017
VSH400046_OLD,4/10/2017
VSH316355_OLD2,4/10/2017
VSH316450,4/11/2017
VSH316685_OLD,4/11/2017
VSH316912,4/11/2017
VSH316985,4/11/2017
VSH317053_OLD,4/11/2017
VSH317076,4/11/2017
VSH316976,4/12/2017
VSH209445,4/12/2017
VSH316205_OLD,4/12/2017
VSH316837,4/12/2017
VSH316838,4/12/2017
VSH316979,4/13/2017
VSH317040,4/13/2017
VSH317044_OLD2,4/13/2017
VSH316862,4/13/2017
VSH316126_OLD2,4/14/2017
VSH315436,4/14/2017
VSH313253,4/14/2017
VSH250010,4/14/2017
VSH315888,4/14/2017
VSH209288,4/14/2017
VSH209980,4/14/2017
VSH316924,4/17/2017
VSH316920,4/17/2017
VSH316952,4/17/2017
VSH317079,4/17/2017
VSH312538_OLD2,4/17/2017
VSH210148_REL,4/17/2017
VSH400049,4/17/2017
VSH316956,4/17/2017
VSH310444,4/17/2017
VSH316810,4/18/2017
VSH316846,4/18/2017
VSH316845,4/18/2017
VSH316980_old,4/18/2017
VSH109484,4/18/2017
VSH209289_OLD2,4/18/2017
VSH316375,4/19/2017
VSH317007,4/19/2017
VSH316889,4/19/2017
VSH317136,4/19/2017
VSH317138,4/19/2017
VSH317006,4/20/2017
VSH109051,4/20/2017
VSH316878_OLD,4/21/2017
VSH316600,4/22/2017
VSH316881,4/23/2017
VSH315519,4/24/2017
VSH316942,4/24/2017
VSH316991,4/24/2017
VSH312674,4/24/2017
VSH209444,4/24/2017
VSH314020_OLD,4/24/2017
VSH316194_OLD,4/25/2017
VSH400033,4/25/2017
VSH317036,4/25/2017
VSH317101,4/25/2017
VSH317256,4/25/2017
VSH317010,4/26/2017
VSH317038_REL,4/26/2017
VSH317137,4/26/2017
VSH317171_OLD,4/26/2017
VSH311779_OLD,4/26/2017
VSH317020,4/27/2017
VSH317104,4/27/2017
VSH317094,4/27/2017
VSH400045,4/27/2017
VSH317297_REL,4/27/2017
VSH317128,4/28/2017
VSH250325,4/28/2017
VSH316936,4/28/2017
VSH317271,4/28/2017
VSH313315_OLD,4/28/2017
VSH315177_OLD,4/28/2017
VSH315298_OLD,4/28/2017
VSH315986,4/29/2017
VSH316959,5/1/2017
VSH317154,5/1/2017
VSH317172,5/1/2017
VSH317165,5/1/2017
VSH317180_OLD,5/1/2017
VSH400054,5/1/2017
VSH316267,5/1/2017
VSH209166,5/1/2017
VSH317301,5/1/2017
VSH316911,5/1/2017
VSH314248_OLD,5/1/2017
VSH310747_OLD3,5/1/2017
VSH310737_OLD2,5/1/2017
VSH316737,5/2/2017
VSH316860_OLD,5/2/2017
VSH317025,5/2/2017
VSH317029,5/2/2017
VSH317078,5/2/2017
VSH317125_OLD,5/2/2017
VSH317133_OLD,5/2/2017
VSH312924_OLD,5/2/2017
VSH316984_OLD,5/3/2017
VSH317100,5/3/2017
VSH317099,5/3/2017
VSH312296,5/3/2017
VSH317223_OLD,5/3/2017
VSH312449,5/3/2017
VSH316511_OLD,5/4/2017
VSH316697_OLD,5/4/2017
VSH210019,5/4/2017
VSH317239_OLD,5/4/2017
VSH317334,5/4/2017
VSH312596_OLD2,5/4/2017
VSH315323,5/4/2017
VSH314547,5/4/2017
VSH311334_OLD,5/5/2017
VSH317093_OLD,5/5/2017
VSH317253_OLD,5/5/2017
VSH316900,5/6/2017
VSH315433_OLD,5/8/2017
VSH316853_REL,5/8/2017
VSH317160_OLD,5/8/2017
VSH317182_REL,5/8/2017
VSH400048,5/8/2017
VSH400043_OLD,5/9/2017
VSH317140,5/9/2017
VSH317152_OLD,5/9/2017
VSH317155,5/9/2017
VSH310079,5/9/2017
VSH313707,5/9/2017
VSH316902,5/10/2017
VSH316990,5/10/2017
VSH317082,5/10/2017
VSH312357,5/10/2017
VSH317217,5/10/2017
VSH317219,5/10/2017
VSH317249_OLD,5/10/2017
VSH312618_OLD1,5/10/2017
VSH317265,5/10/2017
VSH316361,5/10/2017
VSH317065_OLD,5/11/2017
VSH317232,5/11/2017
VSH317338,5/11/2017
VSH313911_OLD,5/11/2017
VSH313800_OLD,5/11/2017
VSH316962_OLD,5/12/2017
VSH317248,5/12/2017
VSH317254_OLD,5/12/2017
VSH315508_OLD,5/12/2017
VSH400036,5/15/2017
VSH317143_OLD,5/15/2017
VSH317214_OLD,5/15/2017
VSH317251,5/15/2017
VSH317266,5/15/2017
VSH317292,5/15/2017
VSH317358,5/15/2017
VSH316542_OLD,5/15/2017
VSH317262,5/16/2017
VSH317303_OLD,5/16/2017
VSH250357,5/16/2017
VSH316995_OLD,5/16/2017
VSH250287,5/16/2017
VSH314855__OLD,5/16/2017
VSH316755,5/17/2017
VSH400050,5/17/2017
VSH317243,5/17/2017
VSH315744,5/17/2017
VSH316640_OLD,5/18/2017
VSH315396,5/18/2017
VSH316282,5/18/2017
VSH317299_OLD,5/18/2017
VSH317383,5/18/2017
VSH250209,5/20/2017
VSH317234,5/22/2017
VSH317304_OLD,5/22/2017
VSH317267,5/22/2017
VSH317284,5/22/2017
VSH400059,5/22/2017
VSH317335,5/22/2017
VSH317325,5/22/2017
VSH317353,5/22/2017
VSH317084,5/23/2017
VSH317245_OLD,5/23/2017
VSH317279,5/23/2017
VSH317382_OLD,5/23/2017
VSH209691,5/23/2017
VSH317109_OLD,5/24/2017
VSH317146_OLD,5/24/2017
VSH317349,5/24/2017
VSH311314,5/24/2017
VSH317384,5/25/2017
VSH317380_OLD,5/25/2017
VSH209133,5/25/2017
VSH209247_REL,5/25/2017
VSH317326,5/26/2017
VSH317329,5/26/2017
VSH316765,5/27/2017
VSH312485_OLD,5/30/2017
VSH317278,5/30/2017
VSH317195,5/30/2017
VSH317428,5/30/2017
VSH316576_OLD2,5/30/2017
VSH317491,5/30/2017
VSH312861_OLD2,5/30/2017
VSH317120_OLD,5/31/2017
VSH311116_old4,5/31/2017
VSH317388,5/31/2017
VSH317181,5/31/2017
VSH317187,5/31/2017
VSH317473,5/31/2017
VSH314339_REL,5/31/2017
VSH310023,5/31/2017
VSH316987,6/1/2017
VSH317296,6/1/2017
VSH317289_REL,6/1/2017
VSH209721_OLDER,6/1/2017
VSH315101,6/1/2017
VSH313318_REL,6/1/2017
VSH317246,6/2/2017
VSH317333,6/4/2017
VSH209258,6/5/2017
VSH317387,6/5/2017
vsh317386_old,6/5/2017
VSH317451,6/5/2017
VSH317432_REL,6/5/2017
VSH317538_OLD,6/5/2017
VSH317537_OLD,6/5/2017
VSH317584,6/5/2017
VSH316856,6/6/2017
VSH316879,6/6/2017
VSH317163,6/6/2017
VSH317345,6/6/2017
VSH317330,6/6/2017
VSH317308,6/6/2017
VSH317360_OLD,6/6/2017
VSH317372,6/6/2017
VSH400069,6/6/2017
VSH317255_REL,6/7/2017
VSH317240_REL,6/7/2017
VSH317351,6/7/2017
VSH317145,6/7/2017
VSH317455_OLD,6/7/2017
VSH317417_Old,6/7/2017
VSH400086,6/7/2017
VSH317595,6/7/2017
VSH317045_OLD2,6/8/2017
VSH317344,6/8/2017
VSH317366,6/8/2017
VSH317364,6/8/2017
VSH317641_OLD,6/8/2017
VSH250204,6/8/2017
VSH400073_OLD,6/9/2017
VSH317305,6/9/2017
VSH317526,6/9/2017
VSH314672,6/9/2017
VSH317544,6/9/2017
VSH317614,6/9/2017
VSH400007,6/9/2017
VSH317182,6/9/2017
VSH316821,6/12/2017
VSH317201,6/12/2017
VSH312316_OLD,6/12/2017
VSH317433,6/12/2017
VSH317446,6/12/2017
VSH317468_OLD,6/12/2017
VSH317521_OLD,6/12/2017
VSH317523,6/12/2017
VSH317586,6/12/2017
VSH317216,6/13/2017
VSH317237,6/13/2017
VSH317396,6/13/2017
VSH317531,6/13/2017
VSH317429_OLD,6/14/2017
VSH317465_OLD2,6/14/2017
VSH317530,6/14/2017
VSH317529_old,6/14/2017
VSH317598_OLD,6/14/2017
VSH317628_OLD,6/14/2017
VSH314205_OLD,6/14/2017
VSH209648,6/14/2017
VSH400063,6/15/2017
VSH317406_OLD,6/15/2017
VSH317527,6/15/2017
VSH317619_OLD,6/15/2017
VSH317617_OLD,6/15/2017
VSH317640,6/15/2017
VSH317416,6/16/2017
VSH313468,6/16/2017
VSH316716,6/19/2017
VSH313382,6/19/2017
VSH317309,6/20/2017
VSH317445_OLD,6/20/2017
VSH317494,6/20/2017
VSH317566,6/20/2017
VSH317525,6/20/2017
VSH209198_OLD2,6/20/2017
VSH316811_OLD,6/21/2017
VSH317535,6/21/2017
VSH317590,6/21/2017
VSH317589_OLD,6/21/2017
VSH209104_REL,6/22/2017
VSH317379,6/22/2017
VSH400077,6/22/2017
VSH317540,6/22/2017
VSH317570,6/22/2017
VSH317576,6/22/2017
VSH317682_OLD,6/22/2017
VSH209672,6/23/2017
VSH317615_OLD,6/23/2017
VSH317034,6/23/2017
VSH210107,6/26/2017
VSH317482_OLD,6/26/2017
VSH317597,6/26/2017
VSH315687,6/26/2017
VSH316969_OLD2,6/26/2017
VSH312533,6/27/2017
VSH317414,6/27/2017
VSH400079_OLD,6/27/2017
VSH317555,6/27/2017
VSH317588,6/27/2017
VSH317592_OLD,6/27/2017
VSH209114,6/27/2017
VSH209226,6/27/2017
VSH317412,6/28/2017
VSH317606,6/28/2017
VSH317763,6/28/2017
VSH317709,6/28/2017
VSH311704_PCSWAP,6/28/2017
VSH317340,6/29/2017
VSH317545_OLD,6/29/2017
VSH317712,6/29/2017
VSH317728_REL,6/29/2017
VSH317814_REL,6/29/2017
VSH310901_OLD,6/29/2017
VSH317224,6/30/2017
VSH317559,6/30/2017
VSH317637,6/30/2017
VSH317703_OLD,6/30/2017
VSH210013,6/30/2017
VSH317790,7/1/2017
VSH314349_REL,7/3/2017
VSH317233,7/5/2017
VSH317453,7/5/2017
VSH317512_OLD,7/5/2017
VSH317577,7/5/2017
VSH317780,7/5/2017
VSH317792,7/5/2017
VSH317809,7/5/2017
VSH317830,7/5/2017
VSH314416,7/5/2017
VSH317750_OLD,7/6/2017
VSH317487,7/6/2017
VSH317835_REL,7/6/2017
VSH312148_OLD3,7/6/2017
VSH210097,7/6/2017
VSH400035_old,7/7/2017
VSH317027,7/7/2017
VSH400071_OLD,7/7/2017
VSH400037,7/7/2017
VSH317579_OLD,7/7/2017
VSH317583,7/7/2017
VSH317601_OLD,7/7/2017
VSH317675,7/7/2017
VSH317788_OLD,7/7/2017
VSH400089,7/7/2017
VSH209102,7/7/2017
VSH317556_OLD,7/8/2017
VSH317058,7/8/2017
VSH316544,7/10/2017
VSH317028,7/10/2017
VSH317042,7/10/2017
VSH317033,7/10/2017
VSH317030,7/10/2017
VSH317041_REL,7/10/2017
VSH317399,7/10/2017
VSH317571,7/10/2017
VSH317613_OLD,7/10/2017
VSH317605,7/10/2017
VSH317664,7/10/2017
VSH317689,7/10/2017
VSH317670,7/10/2017
VSH317811,7/10/2017
VSH400090,7/10/2017
VSH317828,7/10/2017
VSH317507_REL,7/10/2017
VSH400076_OLD,7/11/2017
VSH317404,7/11/2017
VSH317771,7/11/2017
VSH317581,7/11/2017
VSH317660,7/11/2017
VSH317663,7/11/2017
VSH317710_OLD,7/11/2017
VSH317798,7/11/2017
VSH316372,7/12/2017
VSH317319,7/12/2017
VSH400075,7/12/2017
VSH317800,7/12/2017
VSH317808_OLD,7/12/2017
VSH314433,7/12/2017
VSH317815,7/12/2017
VSH317923,7/12/2017
VSH400064,7/13/2017
VSH400065,7/13/2017
VSH400074,7/13/2017
VSH317462_REL,7/13/2017
VSH317486,7/13/2017
VSH317729,7/13/2017
VSH317721,7/13/2017
VSH317759,7/13/2017
VSH209645_OLD2,7/13/2017
VSH400104,7/13/2017
VSH317928_OLD,7/13/2017
VSH400116,7/13/2017
VSH317742_OLD,7/14/2017
VSH300017,7/14/2017
VSH317921,7/14/2017
VSH317191_REL,7/14/2017
VSH400097,7/14/2017
VSH400099,7/14/2017
VSH400112,7/14/2017
VSH400103,7/14/2017
VSH400117,7/14/2017
VSH400095,7/14/2017
VSH400106_OLD,7/14/2017
VSH400105,7/14/2017
vsh400102_old,7/14/2017
VSH400096,7/14/2017
VSH400032_OLD2,7/14/2017
VSH400098,7/14/2017
VSH400115,7/14/2017
VSH317188,7/15/2017
VSH317928_OLD3,7/15/2017
VSH400124,7/15/2017
VSH317652,7/16/2017
VSH317002,7/17/2017
VSH317478_OLD,7/17/2017
VSH311962,7/17/2017
